,f,t
0,667.0496983625342,-10.0
1,634.2810121774812,-9.661016949152543
2,603.7326114159625,-9.322033898305088
3,575.3265913262746,-8.98305084745763
4,548.9850471567149,-8.644067796610173
5,524.6300741555804,-8.305084745762715
6,502.1837675711683,-7.96610169491526
7,481.56822265177533,-7.627118644067802
8,462.70553464569895,-7.288135593220347
9,445.51779880123576,-6.9491525423728895
10,429.92711036668305,-6.610169491525433
11,415.8555645903379,-6.271186440677977
12,403.22525672049727,-5.932203389830519
13,391.9582820054582,-5.5932203389830635
14,381.9767356935178,-5.254237288135607
15,373.202713032973,-4.915254237288148
16,365.5583092721211,-4.5762711864406915
17,358.96561965925906,-4.237288135593236
18,353.3467394426838,-3.898305084745779
19,348.62376387069247,-3.5593220338983222
20,344.71878819158206,-3.220338983050865
21,341.5539076536498,-2.8813559322034084
22,339.0512175051925,-2.5423728813559516
23,337.13281299450733,-2.203389830508496
24,335.7207893698914,-1.8644067796610384
25,334.73724187964166,-1.5254237288135817
26,334.10426577205516,-1.1864406779661252
27,333.743956295429,-0.8474576271186685
28,333.5784086980602,-0.5084745762712117
29,333.5297182282458,-0.169491525423755
30,333.519980134283,0.16949152542370172
31,333.47128966446866,0.5084745762711584
32,333.30574206709986,0.8474576271186152
33,332.9454325904738,1.186440677966072
34,332.3124564828874,1.5254237288135286
35,331.32890899263765,1.8644067796609851
36,329.9168853680217,2.203389830508442
37,327.9984808573367,2.542372881355899
38,325.4957907088795,2.8813559322033555
39,322.3309101709472,3.220338983050812
40,318.42593449183704,3.5593220338982685
41,313.7029589198458,3.8983050847457257
42,308.08407870327073,4.2372881355931815
43,301.49138909040875,4.576271186440639
44,293.846985329557,4.915254237288097
45,285.07296266901255,5.254237288135553
46,275.0914163570724,5.593220338983009
47,263.82444164203355,5.932203389830465
48,251.1941337721931,6.271186440677923
49,237.1225879958481,6.61016949152538
50,221.5318995612957,6.949152542372836
51,204.34416371683275,7.288135593220294
52,185.4814757107565,7.62711864406775
53,164.8659307913639,7.966101694915206
54,142.4196242069521,8.305084745762661
55,118.06465120581785,8.64406779661012
56,91.7231070362584,8.983050847457578
57,63.317086946571095,9.322033898305033
58,32.76868618505256,9.66101694915249
59,0.0,9.999999999999947
