,f,t
0,100.0,-10.0
1,93.33524849181272,-9.661016949152543
2,86.90031600114912,-9.322033898305087
3,80.69520252800925,-8.98305084745763
4,74.71990807239305,-8.644067796610173
5,68.97443263430057,-8.305084745762716
6,63.458776213731774,-7.96610169491526
7,58.17293881068668,-7.627118644067803
8,53.11692042516529,-7.288135593220346
9,48.290721057167595,-6.9491525423728895
10,43.6943407066936,-6.610169491525433
11,39.327779373743304,-6.271186440677976
12,35.1910370583167,-5.932203389830519
13,31.284113760413806,-5.593220338983063
14,27.607009480034606,-5.254237288135606
15,24.159724217179104,-4.915254237288149
16,20.9422579718473,-4.576271186440692
17,17.9546107440392,-4.237288135593236
18,15.196782533754796,-3.898305084745779
19,12.66877334099409,-3.5593220338983222
20,10.370583165757083,-3.2203389830508655
21,8.302212008043774,-2.881355932203409
22,6.463659867854166,-2.542372881355952
23,4.854926745188256,-2.2033898305084954
24,3.4760126400460445,-1.8644067796610386
25,2.326917552427532,-1.525423728813582
26,1.4076414823327188,-1.1864406779661252
27,0.7181844297616041,-0.8474576271186685
28,0.25854639471418833,-0.5084745762712117
29,0.02872737719047139,-0.169491525423755
30,0.028727377190453325,0.16949152542370172
31,0.2585463947141341,0.5084745762711584
32,0.7181844297615138,0.8474576271186152
33,1.4076414823325922,1.1864406779660719
34,2.3269175524273695,1.5254237288135286
35,3.476012640045846,1.8644067796609853
36,4.854926745188021,2.203389830508442
37,6.463659867853895,2.542372881355899
38,8.302212008043467,2.8813559322033555
39,10.37058316575674,3.2203389830508122
40,12.66877334099371,3.559322033898269
41,15.19678253375438,3.8983050847457257
42,17.95461074403875,4.237288135593182
43,20.942257971846814,4.576271186440639
44,24.15972421717858,4.915254237288096
45,27.607009480034044,5.254237288135553
46,31.28411376041321,5.593220338983009
47,35.19103705831607,5.932203389830466
48,39.327779373742636,6.271186440677923
49,43.69434070669289,6.6101694915253795
50,48.290721057166856,6.949152542372836
51,53.11692042516451,7.288135593220293
52,58.17293881068587,7.62711864406775
53,63.45877621373092,7.966101694915206
54,68.97443263429967,8.305084745762663
55,74.71990807239213,8.64406779661012
56,80.69520252800828,8.983050847457577
57,86.90031600114814,9.322033898305033
58,93.33524849181168,9.66101694915249
59,99.99999999999893,9.999999999999947
